
n , t
199, 0.000239 
200, 0.000240 
201, 0.000241 
202, 0.000242 
203, 0.000243 
204, 0.000244 
205, 0.000245 
206, 0.000246 
207, 0.000247 
208, 0.000248 
209, 0.000249 
210, 0.000250 
211, 0.000251 
212, 0.000252 
213, 0.000253 
214, 0.000254 
215, 0.000255 
216, 0.000256 
217, 0.000257 
218, 0.000258 
219, 0.000259 
220, 0.000260 
221, 0.000261 
222, 0.000262 
223, 0.000263 
224, 0.000264 
225, 0.000265 
226, 0.000266 
227, 0.000267 
228, 0.000268 
229, 0.000272 
230, 0.000273 
231, 0.000275 
232, 0.000276 
233, 0.000284 
234, 0.000285 
235, 0.000286 
236, 0.000287 
237, 0.000288 
238, 0.000289 
239, 0.000290 
240, 0.000291 
241, 0.000292 
242, 0.000293 
243, 0.000294 
244, 0.000295 
245, 0.000296 
246, 0.000297 
247, 0.000298 
248, 0.000299 
249, 0.000300 
250, 0.000301 
251, 0.000302 
252, 0.000303 
253, 0.000304 
254, 0.000305 
255, 0.000306 
256, 0.000307 
257, 0.000308 
258, 0.000309 
259, 0.000310 
260, 0.000311 
261, 0.000312 
262, 0.000313 
263, 0.000314 
264, 0.000315 
265, 0.000316 
266, 0.000317 
267, 0.000318 
268, 0.000319 
269, 0.000320 
270, 0.000321 
271, 0.000322 
272, 0.000323 
273, 0.000324 
274, 0.000325 
275, 0.000326 
276, 0.000327 
277, 0.000328 
278, 0.000329 
279, 0.000331 
280, 0.000333 
281, 0.000334 
282, 0.000335 
283, 0.000336 
284, 0.000337 
285, 0.000338 
286, 0.000339 
287, 0.000340 
288, 0.000341 
289, 0.000342 
290, 0.000343 
291, 0.000345 
292, 0.000346 
293, 0.000347 
294, 0.000348 
295, 0.000349 
296, 0.000351 
297, 0.000352 
298, 0.000353 
299, 0.000354 
300, 0.000355 
301, 0.000356 
302, 0.000357 
303, 0.000358 
304, 0.000359 
305, 0.000360 
306, 0.000361 
307, 0.000362 
308, 0.000363 
309, 0.000364 
310, 0.000365 
311, 0.000366 
312, 0.000374 
313, 0.000376 
314, 0.000377 
315, 0.000378 
316, 0.000379 
317, 0.000381 
318, 0.000382 
319, 0.000384 
320, 0.000385 
321, 0.000386 
322, 0.000387 
323, 0.000388 
324, 0.000389 
325, 0.000390 
326, 0.000391 
327, 0.000392 
328, 0.000393 
329, 0.000394 
330, 0.000395 
331, 0.000396 
332, 0.000397 
333, 0.000399 
334, 0.000400 
335, 0.000401 
336, 0.000402 
337, 0.000403 
338, 0.000404 
339, 0.000405 
340, 0.000406 
341, 0.000407 
342, 0.000408 
343, 0.000409 
344, 0.000410 
345, 0.000411 
346, 0.000412 
347, 0.000413 
348, 0.000414 
349, 0.000415 
350, 0.000416 
351, 0.000417 
352, 0.000418 
353, 0.000419 
354, 0.000420 
355, 0.000421 
356, 0.000422 
357, 0.000423 
358, 0.000424 
359, 0.000425 
360, 0.000426 
361, 0.000433 
362, 0.000434 
363, 0.000435 
364, 0.000436 
365, 0.000437 
366, 0.000438 
367, 0.000439 
368, 0.000440 
369, 0.000441 
370, 0.000442 
371, 0.000443 
372, 0.000444 
373, 0.000445 
374, 0.000446 
375, 0.000447 
376, 0.000448 
377, 0.000449 
378, 0.000450 
379, 0.000451 
380, 0.000452 
381, 0.000453 
382, 0.000454 
383, 0.000455 
384, 0.000456 
385, 0.000457 
386, 0.000458 
387, 0.000459 
388, 0.000460 
389, 0.000461 
390, 0.000462 
391, 0.000463 
392, 0.000464 
393, 0.000465 
394, 0.000466 
395, 0.000467 
396, 0.000468 
397, 0.000469 
398, 0.000470 
399, 0.000471 
400, 0.000472 
401, 0.000473 
402, 0.000474 
403, 0.000475 
404, 0.000476 
405, 0.000477 
406, 0.000478 
407, 0.000479 
408, 0.000480 
409, 0.000481 
410, 0.000482 
411, 0.000483 
412, 0.000484 
413, 0.000485 
414, 0.000486 
415, 0.000487 
416, 0.000488 
417, 0.000489 
418, 0.000490 
419, 0.000491 
420, 0.000492 
421, 0.000493 
422, 0.000494 
423, 0.000495 
424, 0.000496 
425, 0.000497 
426, 0.000498 
427, 0.000499 
428, 0.000500 
429, 0.000501 
430, 0.000502 
431, 0.000503 
432, 0.000504 
433, 0.000505 
434, 0.000506 
435, 0.000507 
436, 0.000508 
437, 0.000509 
438, 0.000510 
439, 0.000511 
440, 0.000512 
441, 0.000513 
442, 0.000514 
443, 0.000515 
444, 0.000516 
445, 0.000517 
446, 0.000518 
447, 0.000519 
448, 0.000520 
449, 0.000521 
450, 0.000522 
451, 0.000523 
452, 0.000524 
453, 0.000525 
454, 0.000526 
455, 0.000527 
456, 0.000528 
457, 0.000529 
458, 0.000530 
459, 0.000531 
460, 0.000532 
461, 0.000533 
462, 0.000534 
463, 0.000535 
464, 0.000536 
465, 0.000537 
466, 0.000538 
467, 0.000539 
468, 0.000540 
469, 0.000541 
470, 0.000542 
471, 0.000543 
472, 0.000544 
473, 0.000545 
474, 0.000546 
475, 0.000547 
476, 0.000548 
477, 0.000549 
478, 0.000550 
479, 0.000551 
480, 0.000552 
481, 0.000553 
482, 0.000554 
483, 0.000555 
484, 0.000556 
485, 0.000557 
486, 0.000558 
487, 0.000559 
488, 0.000560 
489, 0.000564 
490, 0.000565 
491, 0.000566 
492, 0.000567 
493, 0.000568 
494, 0.000569 
495, 0.000570 
496, 0.000577 
497, 0.000581 
498, 0.000582 
499, 0.000583 
500, 0.000584 
501, 0.000585 
502, 0.000586 
503, 0.000587 
504, 0.000590 
505, 0.000592 
506, 0.000593 
507, 0.000594 
508, 0.000595 
509, 0.000596 
510, 0.000597 
511, 0.000598 
512, 0.000600 
513, 0.000601 
514, 0.000602 
515, 0.000603 
516, 0.000604 
517, 0.000605 
518, 0.000606 
519, 0.000607 
520, 0.000608 
521, 0.000609 
522, 0.000610 
523, 0.000612 
524, 0.000613 
525, 0.000614 
526, 0.000615 
527, 0.000618 
528, 0.000619 
529, 0.000620 
530, 0.000621 
531, 0.000622 
532, 0.000623 
533, 0.000624 
534, 0.000625 
535, 0.000626 
536, 0.000627 
537, 0.000628 
538, 0.000629 
539, 0.000630 
540, 0.000631 
541, 0.000632 
542, 0.000634 
543, 0.000635 
544, 0.000637 
545, 0.000638 
546, 0.000640 
547, 0.000641 
548, 0.000642 
549, 0.000643 
550, 0.000644 
551, 0.000645 
552, 0.000648 
553, 0.000649 
554, 0.000650 
555, 0.000652 
556, 0.000654 
557, 0.000656 
558, 0.000658 
559, 0.000660 
560, 0.000662 
561, 0.000664 
562, 0.000665 
563, 0.000666 
564, 0.000668 
565, 0.000669 
566, 0.000671 
567, 0.000672 
568, 0.000673 
569, 0.000674 
570, 0.000676 
571, 0.000677 
572, 0.000678 
573, 0.000679 
574, 0.000680 
575, 0.000681 
576, 0.000683 
577, 0.000684 
578, 0.000685 
579, 0.000691 
580, 0.000693 
581, 0.000694 
582, 0.000695 
583, 0.000697 
584, 0.000698 
585, 0.000699 
586, 0.000700 
587, 0.000701 
588, 0.000702 
589, 0.000703 
590, 0.000704 
591, 0.000705 
592, 0.000706 
593, 0.000707 
594, 0.000708 
595, 0.000709 
596, 0.000710 
597, 0.000711 
598, 0.000712 
599, 0.000713 
600, 0.000714 
601, 0.000715 
602, 0.000716 
603, 0.000717 
604, 0.000718 
605, 0.000719 
606, 0.000720 
607, 0.000721 
608, 0.000722 
609, 0.000723 
610, 0.000724 
611, 0.000725 
612, 0.000726 
613, 0.000727 
614, 0.000732 
615, 0.000733 
616, 0.000734 
617, 0.000741 
618, 0.000742 
619, 0.000746 
620, 0.000754 
621, 0.000755 
622, 0.000757 
623, 0.000759 
624, 0.000760 
625, 0.000761 
626, 0.000762 
627, 0.000764 
628, 0.000765 
629, 0.000766 
630, 0.000767 
631, 0.000768 
632, 0.000769 
633, 0.000770 
634, 0.000771 
635, 0.000772 
636, 0.000774 
637, 0.000775 
638, 0.000776 
639, 0.000777 
640, 0.000779 
641, 0.000780 
642, 0.000781 
643, 0.000783 
644, 0.000784 
645, 0.000785 
646, 0.000786 
647, 0.000788 
648, 0.000789 
649, 0.000790 
650, 0.000792 
651, 0.000793 
652, 0.000794 
653, 0.000795 
654, 0.000797 
655, 0.000798 
656, 0.000799 
657, 0.000800 
658, 0.000801 
659, 0.000802 
660, 0.000803 
661, 0.000804 
662, 0.000806 
663, 0.000807 
664, 0.000808 
665, 0.000810 
666, 0.000812 
667, 0.000813 
668, 0.000815 
669, 0.000816 
670, 0.000817 
671, 0.000818 
672, 0.000819 
673, 0.000820 
674, 0.000822 
675, 0.000823 
676, 0.000824 
677, 0.000825 
678, 0.000827 
679, 0.000828 
680, 0.000829 
681, 0.000830 
682, 0.000831 
683, 0.000832 
684, 0.000834 
685, 0.000835 
686, 0.000837 
687, 0.000838 
688, 0.000839 
689, 0.000840 
690, 0.000841 
691, 0.000842 
692, 0.000843 
693, 0.000844 
694, 0.000846 
695, 0.000852 
696, 0.000854 
697, 0.000855 
698, 0.000857 
699, 0.000858 
700, 0.000860 
701, 0.000863 
702, 0.000864 
703, 0.000866 
704, 0.000867 
705, 0.000868 
706, 0.000869 
707, 0.000870 
708, 0.000871 
709, 0.000872 
710, 0.000873 
711, 0.000874 
712, 0.000875 
713, 0.000876 
714, 0.000878 
715, 0.000888 
716, 0.000889 
717, 0.000891 
718, 0.000893 
719, 0.000894 
720, 0.000895 
721, 0.000896 
722, 0.000897 
723, 0.000898 
724, 0.000899 
725, 0.000900 
726, 0.000901 
727, 0.000902 
728, 0.000903 
729, 0.000904 
730, 0.000905 
731, 0.000906 
732, 0.000907 
733, 0.000908 
734, 0.000909 
735, 0.000910 
736, 0.000911 
737, 0.000912 
738, 0.000913 
739, 0.000914 
740, 0.000915 
741, 0.000916 
742, 0.000917 
743, 0.000921 
744, 0.000925 
745, 0.000937 
746, 0.000939 
747, 0.000940 
748, 0.000942 
749, 0.000943 
750, 0.000944 
751, 0.000945 
752, 0.000946 
753, 0.000947 
754, 0.000948 
755, 0.000949 
756, 0.000950 
757, 0.000951 
758, 0.000952 
759, 0.000953 
760, 0.000954 
761, 0.000955 
762, 0.000956 
763, 0.000957 
764, 0.000958 
765, 0.000959 
766, 0.000960 
767, 0.000961 
768, 0.000962 
769, 0.000963 
770, 0.000964 
771, 0.000965 
772, 0.000966 
773, 0.000967 
774, 0.000968 
775, 0.000969 
776, 0.000970 
777, 0.000971 
778, 0.000972 
779, 0.000973 
780, 0.000974 
781, 0.000975 
782, 0.000976 
783, 0.000977 
784, 0.000978 
785, 0.000979 
786, 0.000980 
787, 0.000981 
788, 0.000982 
789, 0.000983 
790, 0.000984 
791, 0.000985 
792, 0.000986 
793, 0.000987 
794, 0.000988 
795, 0.000988 
796, 0.000989 
797, 0.000990 
798, 0.000991 
799, 0.000992 
800, 0.000993 
801, 0.000994 
802, 0.000995 
803, 0.000996 
804, 0.000997 
805, 0.000998 
806, 0.000999 
807, 0.001000 
808, 0.001001 
809, 0.001002 
810, 0.001003 
811, 0.001004 
812, 0.001005 
813, 0.001016 
814, 0.001017 
815, 0.001018 
816, 0.001019 
817, 0.001020 
818, 0.001021 
819, 0.001022 
820, 0.001023 
821, 0.001024 
822, 0.001026 
823, 0.001027 
824, 0.001028 
825, 0.001029 
826, 0.001030 
827, 0.001032 
828, 0.001033 
829, 0.001034 
830, 0.001035 
831, 0.001036 
832, 0.001038 
833, 0.001039 
834, 0.001040 
835, 0.001041 
836, 0.001042 
837, 0.001043 
838, 0.001044 
839, 0.001045 
840, 0.001046 
841, 0.001047 
842, 0.001048 
843, 0.001049 
844, 0.001050 
845, 0.001051 
846, 0.001052 
847, 0.001053 
848, 0.001055 
849, 0.001056 
850, 0.001057 
851, 0.001059 
852, 0.001061 
853, 0.001062 
854, 0.001063 
855, 0.001064 
856, 0.001065 
857, 0.001066 
858, 0.001067 
859, 0.001068 
860, 0.001069 
861, 0.001070 
862, 0.001071 
863, 0.001072 
864, 0.001073 
865, 0.001074 
866, 0.001075 
867, 0.001076 
868, 0.001077 
869, 0.001078 
870, 0.001079 
871, 0.001080 
872, 0.001081 
873, 0.001094 
874, 0.001095 
875, 0.001098 
876, 0.001102 
877, 0.001104 
878, 0.001107 
879, 0.001109 
880, 0.001110 
881, 0.001111 
882, 0.001112 
883, 0.001113 
884, 0.001114 
885, 0.001115 
886, 0.001116 
887, 0.001117 
888, 0.001118 
889, 0.001119 
890, 0.001120 
891, 0.001121 
892, 0.001122 
893, 0.001123 
894, 0.001124 
895, 0.001125 
896, 0.001126 
897, 0.001127 
898, 0.001128 
899, 0.001129 
900, 0.001130 
901, 0.001131 
902, 0.001132 
903, 0.001133 
904, 0.001134 
905, 0.001135 
906, 0.001136 
907, 0.001137 
908, 0.001138 
909, 0.001139 
910, 0.001140 
911, 0.001142 
912, 0.001143 
913, 0.001144 
914, 0.001145 
915, 0.001146 
916, 0.001147 
917, 0.001148 
918, 0.001149 
919, 0.001150 
920, 0.001151 
921, 0.001152 
922, 0.001153 
923, 0.001154 
924, 0.001155 
925, 0.001156 
926, 0.001157 
927, 0.001158 
928, 0.001160 
929, 0.001161 
930, 0.001162 
931, 0.001163 
932, 0.001164 
933, 0.001165 
934, 0.001166 
935, 0.001167 
936, 0.001168 
937, 0.001169 
938, 0.001170 
939, 0.001171 
940, 0.001172 
941, 0.001173 
942, 0.001174 
943, 0.001175 
944, 0.001176 
945, 0.001177 
946, 0.001178 
947, 0.001179 
948, 0.001180 
949, 0.001181 
950, 0.001182 
951, 0.001183 
952, 0.001184 
953, 0.001185 
954, 0.001186 
955, 0.001187 
956, 0.001188 
957, 0.001189 
958, 0.001190 
959, 0.001191 
960, 0.001192 
961, 0.001193 
962, 0.001194 
963, 0.001195 
964, 0.001196 
965, 0.001197 
966, 0.001198 
967, 0.001199 
968, 0.001200 
969, 0.001201 
970, 0.001202 
971, 0.001203 
972, 0.001204 
973, 0.001205 
974, 0.001206 
975, 0.001207 
976, 0.001208 
977, 0.001209 
978, 0.001210 
979, 0.001211 
980, 0.001212 
981, 0.001213 
982, 0.001214 
983, 0.001215 
984, 0.001216 
985, 0.001217 
986, 0.001218 
987, 0.001219 
988, 0.001220 
989, 0.001221 
990, 0.001222 
991, 0.001223 
992, 0.001224 
993, 0.001225 
994, 0.001226 
995, 0.001227 
996, 0.001228 
997, 0.001229 
998, 0.001230 
999, 0.001231 
1000, 0.001232 
1001, 0.001237 
1002, 0.001238 
1003, 0.001239 
1004, 0.001240 
1005, 0.001241 
1006, 0.001242 
1007, 0.001243 
1008, 0.001244 
1009, 0.001245 
1010, 0.001246 
1011, 0.001247 
1012, 0.001248 
1013, 0.001249 
1014, 0.001250 
1015, 0.001251 
1016, 0.001252 
1017, 0.001253 
1018, 0.001254 
1019, 0.001255 
1020, 0.001256 
1021, 0.001257 
1022, 0.001258 
1023, 0.001259 
1024, 0.001260 
1025, 0.001261 
1026, 0.001262 
1027, 0.001263 
1028, 0.001264 
1029, 0.001265 
1030, 0.001266 
1031, 0.001267 
1032, 0.001268 
1033, 0.001269 
1034, 0.001270 
1035, 0.001271 
1036, 0.001272 
1037, 0.001273 
1038, 0.001274 
1039, 0.001275 
1040, 0.001277 
1041, 0.001278 
1042, 0.001279 
1043, 0.001280 
1044, 0.001281 
1045, 0.001282 
1046, 0.001283 
1047, 0.001284 
1048, 0.001285 
1049, 0.001286 
1050, 0.001287 
1051, 0.001288 
1052, 0.001289 
1053, 0.001290 
1054, 0.001291 
1055, 0.001292 
1056, 0.001293 
1057, 0.001294 
1058, 0.001295 
1059, 0.001296 
1060, 0.001297 
1061, 0.001298 
1062, 0.001299 
1063, 0.001300 
1064, 0.001301 
1065, 0.001302 
1066, 0.001302 
1067, 0.001302 
1068, 0.001302 
1069, 0.001302 
1070, 0.001302 
1071, 0.001302 
1072, 0.001302 
1073, 0.001302 
1074, 0.001302 
1075, 0.001302 
1076, 0.001302 
1077, 0.001302 
1078, 0.001303 
1079, 0.001304 
1080, 0.001305 
1081, 0.001306 
1082, 0.001307 
1083, 0.001308 
1084, 0.001309 
1085, 0.001310 
1086, 0.001311 
1087, 0.001312 
1088, 0.001313 
1089, 0.001314 
1090, 0.001315 
1091, 0.001316 
1092, 0.001316 
1093, 0.001317 
1094, 0.001318 
1095, 0.001319 
1096, 0.001320 
1097, 0.001321 
1098, 0.001322 
1099, 0.001323 
1100, 0.001323 
1101, 0.001324 
1102, 0.001324 
1103, 0.001325 
1104, 0.001326 
1105, 0.001327 
1106, 0.001328 
1107, 0.001334 
1108, 0.001335 
1109, 0.001336 
1110, 0.001337 
1111, 0.001341 
1112, 0.001342 
1113, 0.001342 
1114, 0.001343 
1115, 0.001343 
1116, 0.001344 
1117, 0.001345 
1118, 0.001346 
1119, 0.001348 
1120, 0.001349 
1121, 0.001350 
1122, 0.001351 
1123, 0.001352 
1124, 0.001352 
1125, 0.001352 
1126, 0.001352 
1127, 0.001352 
1128, 0.001353 
1129, 0.001358 
1130, 0.001359 
1131, 0.001360 
1132, 0.001360 
1133, 0.001360 
1134, 0.001361 
1135, 0.001362 
1136, 0.001362 
1137, 0.001362 
1138, 0.001363 
1139, 0.001364 
1140, 0.001364 
1141, 0.001365 
1142, 0.001366 
1143, 0.001366 
1144, 0.001367 
1145, 0.001368 
1146, 0.001368 
1147, 0.001369 
1148, 0.001370 
1149, 0.001370 
1150, 0.001371 
1151, 0.001372 
1152, 0.001372 
1153, 0.001373 
1154, 0.001374 
1155, 0.001374 
1156, 0.001375 
1157, 0.001376 
1158, 0.001376 
1159, 0.001377 
1160, 0.001378 
1161, 0.001378 
1162, 0.001379 
1163, 0.001380 
1164, 0.001380 
1165, 0.001381 
1166, 0.001382 
1167, 0.001382 
1168, 0.001383 
1169, 0.001384 
1170, 0.001384 
1171, 0.001385 
1172, 0.001386 
1173, 0.001386 
1174, 0.001387 
1175, 0.001388 
1176, 0.001388 
1177, 0.001389 
1178, 0.001389 
1179, 0.001389 
1180, 0.001390 
1181, 0.001391 
1182, 0.001391 
1183, 0.001392 
1184, 0.001392 
1185, 0.001392 
1186, 0.001393 
1187, 0.001393 
1188, 0.001393 
1189, 0.001394 
1190, 0.001394 
1191, 0.001394 
1192, 0.001395 
1193, 0.001395 
1194, 0.001395 
1195, 0.001396 
1196, 0.001396 
1197, 0.001396 
1198, 0.001397 
1199, 0.001397 
1200, 0.001397 
1201, 0.001398 
1202, 0.001398 
1203, 0.001398 
1204, 0.001399 
1205, 0.001399 
1206, 0.001399 
1207, 0.001400 
1208, 0.001400 
1209, 0.001400 
1210, 0.001401 
1211, 0.001401 
1212, 0.001401 
1213, 0.001402 
1214, 0.001402 
1215, 0.001402 
1216, 0.001403 
1217, 0.001403 
1218, 0.001403 
1219, 0.001404 
1220, 0.001404 
1221, 0.001404 
1222, 0.001405 
1223, 0.001405 
1224, 0.001405 
1225, 0.001406 
1226, 0.001406 
1227, 0.001406 
1228, 0.001407 
1229, 0.001407 
1230, 0.001407 
1231, 0.001408 
1232, 0.001408 
1233, 0.001408 
1234, 0.001409 
1235, 0.001409 
1236, 0.001409 
1237, 0.001410 
1238, 0.001410 
1239, 0.001410 
1240, 0.001411 
1241, 0.001411 
1242, 0.001411 
1243, 0.001412 
1244, 0.001412 
1245, 0.001412 
1246, 0.001413 
1247, 0.001413 
1248, 0.001413 
1249, 0.001414 
1250, 0.001414 
1251, 0.001414 
1252, 0.001415 
1253, 0.001415 
1254, 0.001415 
1255, 0.001416 
1256, 0.001416 
1257, 0.001418 
1258, 0.001419 
1259, 0.001419 
1260, 0.001420 
1261, 0.001421 
1262, 0.001421 
1263, 0.001422 
1264, 0.001423 
1265, 0.001423 
1266, 0.001423 
1267, 0.001424 
1268, 0.001424 
1269, 0.001424 
1270, 0.001425 
1271, 0.001425 
1272, 0.001425 
1273, 0.001426 
1274, 0.001426 
1275, 0.001426 
1276, 0.001427 
1277, 0.001427 
1278, 0.001427 
1279, 0.001428 
1280, 0.001428 
1281, 0.001428 
1282, 0.001429 
1283, 0.001429 
1284, 0.001429 
1285, 0.001430 
1286, 0.001431 
1287, 0.001431 
1288, 0.001432 
1289, 0.001433 
1290, 0.001433 
1291, 0.001434 
1292, 0.001435 
1293, 0.001435 
1294, 0.001436 
1295, 0.001437 
1296, 0.001437 
1297, 0.001438 
1298, 0.001439 
1299, 0.001439 
1300, 0.001440 
1301, 0.001441 
1302, 0.001441 
1303, 0.001442 
1304, 0.001443 
1305, 0.001443 
1306, 0.001444 
1307, 0.001445 
1308, 0.001445 
1309, 0.001446 
1310, 0.001447 
1311, 0.001447 
1312, 0.001448 
1313, 0.001449 
1314, 0.001449 
1315, 0.001450 
1316, 0.001451 
1317, 0.001451 
1318, 0.001452 
1319, 0.001453 
1320, 0.001453 
1321, 0.001454 
1322, 0.001455 
1323, 0.001455 
1324, 0.001456 
1325, 0.001457 
1326, 0.001457 
1327, 0.001458 
1328, 0.001459 
1329, 0.001459 
1330, 0.001460 
1331, 0.001461 
1332, 0.001461 
1333, 0.001462 
1334, 0.001463 
1335, 0.001463 
1336, 0.001464 
1337, 0.001465 
1338, 0.001465 
1339, 0.001466 
1340, 0.001467 
1341, 0.001467 
1342, 0.001468 
1343, 0.001469 
1344, 0.001469 
1345, 0.001470 
1346, 0.001471 
1347, 0.001471 
1348, 0.001472 
1349, 0.001473 
1350, 0.001474 
1351, 0.001474 
1352, 0.001474 
1353, 0.001474 
1354, 0.001474 
1355, 0.001475 
1356, 0.001476 
1357, 0.001477 
1358, 0.001478 
1359, 0.001479 
1360, 0.001480 
1361, 0.001480 
1362, 0.001481 
1363, 0.001482 
1364, 0.001482 
1365, 0.001483 
1366, 0.001484 
1367, 0.001484 
1368, 0.001485 
1369, 0.001485 
1370, 0.001485 
1371, 0.001486 
1372, 0.001486 
1373, 0.001486 
1374, 0.001487 
1375, 0.001487 
1376, 0.001487 
1377, 0.001488 
1378, 0.001488 
1379, 0.001488 
1380, 0.001489 
1381, 0.001489 
1382, 0.001489 
1383, 0.001490 
1384, 0.001490 
1385, 0.001493 
1386, 0.001494 
1387, 0.001495 
1388, 0.001495 
1389, 0.001496 
1390, 0.001497 
1391, 0.001497 
1392, 0.001498 
1393, 0.001499 
1394, 0.001499 
1395, 0.001500 
1396, 0.001500 
1397, 0.001500 
1398, 0.001501 
1399, 0.001502 
1400, 0.001502 
1401, 0.001503 
1402, 0.001504 
1403, 0.001504 
1404, 0.001505 
1405, 0.001505 
1406, 0.001505 
1407, 0.001506 
1408, 0.001506 
1409, 0.001506 
1410, 0.001507 
1411, 0.001507 
1412, 0.001508 
1413, 0.001509 
1414, 0.001509 
1415, 0.001509 
1416, 0.001510 
1417, 0.001510 
1418, 0.001510 
1419, 0.001511 
1420, 0.001511 
1421, 0.001511 
1422, 0.001512 
1423, 0.001512 
1424, 0.001513 
1425, 0.001514 
1426, 0.001514 
1427, 0.001515 
1428, 0.001516 
1429, 0.001516 
1430, 0.001517 
1431, 0.001518 
1432, 0.001518 
1433, 0.001519 
1434, 0.001520 
1435, 0.001520 
1436, 0.001521 
1437, 0.001522 
1438, 0.001522 
1439, 0.001523 
1440, 0.001524 
1441, 0.001524 
1442, 0.001525 
1443, 0.001526 
1444, 0.001526 
1445, 0.001527 
1446, 0.001528 
1447, 0.001528 
1448, 0.001529 
1449, 0.001529 
1450, 0.001529 
1451, 0.001530 
1452, 0.001530 
1453, 0.001530 
1454, 0.001531 
1455, 0.001531 
1456, 0.001531 
1457, 0.001532 
1458, 0.001532 
1459, 0.001532 
1460, 0.001533 
1461, 0.001533 
1462, 0.001533 
1463, 0.001534 
1464, 0.001534 
1465, 0.001534 
1466, 0.001535 
1467, 0.001535 
1468, 0.001536 
1469, 0.001537 
1470, 0.001537 
1471, 0.001538 
1472, 0.001539 
1473, 0.001539 
1474, 0.001540 
1475, 0.001541 
1476, 0.001541 
1477, 0.001542 
1478, 0.001543 
1479, 0.001543 
1480, 0.001544 
1481, 0.001545 
1482, 0.001545 
1483, 0.001546 
1484, 0.001547 
1485, 0.001547 
1486, 0.001548 
1487, 0.001549 
1488, 0.001549 
1489, 0.001550 
1490, 0.001551 
1491, 0.001551 
1492, 0.001552 
1493, 0.001552 
1494, 0.001552 
1495, 0.001553 
1496, 0.001553 
1497, 0.001553 
1498, 0.001554 
